TRIMESTRE,INVERSION FB,CONSUMO,PIB,CREC INVERSION,CREC CONSUMO,CREC PIB
1996/02,6420527.233,1814085.847,10518854.09,0.02117623,0.06973289,0.017557727
1996/03,6556489.796,1940587.296,10703541.26,0.02714203,0.060512225,0.029438731
1996/04,6734446.242,2058016.551,11018639.93,0.009598268,-0.026912486,0.001728054
1997/01,6799085.262,2002630.21,11037680.74,0.025370672,0.070847347,0.023163141
1997/02,6971582.624,2144511.247,11293348.09,0.015063441,0.045252605,0.019444019
1997/03,7076598.649,2241555.968,11512936.17,0.02604602,0.021581495,0.024134101
1997/04,7260915.878,2289932.096,11790790.53,0.015553433,0.019603405,0.009549962
1998/01,7373848.044,2334822.562,11903392.13,0.014372331,0.024167645,0.007312342
1998/02,7479827.43,2391249.725,11990433.81,0.006253263,0.016429083,0.00457067
1998/03,7526600.76,2430535.766,12045238.13,0.001985488,0.002298565,0.001553909
1998/04,7541544.737,2436122.51,12063955.33,0.023768115,0.032434416,0.010889207
1999/01,7720793.037,2515136.722,12195322.24,0.00592932,0.000368568,0.005750747
1999/02,7766572.086,2516063.72,12265454.45,0.01825332,0.001837416,0.008109455
1999/03,7908337.811,2520686.775,12364920.6,0.007920794,0.019539529,0.010360105
1999/04,7970978.126,2569939.808,12493022.47,0.021797836,0.03346257,0.018402442
2000/01,8144728.2,2655936.598,12722924.59,0.022662259,0.014258569,0.016088727
2000/02,8329306.138,2693806.453,12927620.25,0.017632733,-0.004186398,0.007804441
2000/03,8476174.566,2682529.108,13028513.1,0.011111684,-0.023780011,-0.00663716
2000/04,8570359.136,2618738.536,12942040.77,0.000985889,-0.041180472,0.001214825
2001/01,8578808.558,2510897.647,12957763.08,0.000843264,-0.032692237,-0.006067851
2001/02,8586042.76,2428810.785,12879137.31,0.002737749,0.023077533,0.000272851
2001/03,8609549.187,2484861.746,12882651.4,0.007562372,-0.01255089,-0.004720111
2001/04,8674657.804,2453674.52,12821843.85,0.002932244,-0.027219717,-0.006155058
2002/01,8700094.016,2386886.193,12742924.66,0.009556865,0.008099655,0.008646066
2002/02,8783239.642,2406219.147,12853100.83,0.00093877,0.012489329,0.00681238
2002/03,8791485.08,2436271.209,12940661.04,-0.004110383,-0.001244001,0.003110887
2002/04,8755348.712,2433240.484,12980917.97,0.016452296,0.006032962,0.002647885
2003/01,8899394.304,2447920.132,13015289.95,-0.001030246,-0.000143315,0.001989847
2003/02,8890225.739,2447569.308,13041188.38,0.006417841,-0.00774482,-6.95E-05
2003/03,8947281.792,2428613.325,13040282.67,0.014712867,0.00407423,0.010436897
2003/04,9078921.956,2438508.055,13176382.76,0.005829392,0.050597876,0.012720138
2004/01,9131846.549,2561891.383,13343988.17,0.019071384,0.02094495,0.01694799
2004/02,9306003.505,2615550.071,13570141.95,0.014299952,-0.007082624,-0.001350287
